pattern,count
Chỉ định của thuốc %,67
Bảo quản thuốc%,45
Cách dùng%,711
Lưu ý gì khi sử dụng %,60
Lưu ý%,436
Cách%,868
Trường hợp không nên dùng%,110
% là thuốc gì?,628
Tác dụng phụ của thuốc%,275
Những lưu ý khi dùng thuốc%,65
Các đối tượng sử dụng%,113
Trường hợp quên liều%,184
Công dụng của thuốc%,114
Tác dụng của thuốc%,111
Tác dụng phụ của%,288
Tương tác thuốc khi dùng%,104
Cần lưu ý gì khi sử dụng%,16
Tương tác xảy ra khi dùng thuốc %,70
Công dụng của%,111
Tác dụng phụ (ADR) của thuốc%,3
Hướng dẫn dùng thuốc%,127
Tương tác xảy ra khi dùng %,10
Xử trí khi quá liều%,146
Đối tượng chống chỉ định dùng%,443
% là gì? - %,23
Thành phần của%,98
%có tác dụng gì?,58
Xử trí khi quên một liều%,124
Chống chỉ định của thuốc%,73
Tác dụng phụ%,134
Tương tác%,392
Hướng dẫn sử dụng thuốc%,29
Thận trọng khi sử dụng%,18
Đối tượng% - Đối tượng%,20
Quá liều và cách xử%,10
Xử trí khi dùng quá liều thuốc %,27
Phụ nữ có%,165
Đối tượng đặc biệt sử dụng%,42
Xử lý khi dùng quá liều thuốc %,37
Những điều bạn cần lưu ý khi dùng thuốc%,25
Xử lý khi%,339
Trường hợp không dùng thuốc %,7
Những lưu ý quan trọng khi sử dụng%,22
Chống chỉ định%,104
Ai không nên sử dụng%,4
Tác dụng %,265
Phụ nữ%,24
% như thế nào?,33
Liều dùng%,107
Điều kiện%,4
Ai không được sử dụng thuốc%,6
Đối tượng chống chỉ định và thận trọng - %,3
Nên làm gì%,34
Giá của%,5
Đối trượng đặc biệt khi dùng%,3
Thuốc % được chỉ định để điều trị bệnh gì? - %,12
% giá bao nhiêu?,87
Chỉ định thuốc %,12
Giá thuốc%,18
Liều và cách dùng thuốc%,33
Xử trí khi%,85
Trường hợp không sử dụng%,1
Quá liều với %,10
Thành phần và công dụng của%,58
Không nên dùng thuốc%,37
% là thuốc gì và có tác dụng trong những trường hợp nào?,2
sql %bị chống chỉ định cho đối tượng nào? - Đối tượng thận trọng khi dùng%,0
Thuốc%,6
Lưu ý khi sử dụng thuốc%,7
Thành phần%,102
Chỉ định của %,45
% gặp phải những tác dụng phụ nào?,3
Đối tượng%,278
Thận trọng khi dùng%,10
Hướng dẫn sử dụng%,16
Những đối tượng sử dụng thuốc%,2
%có gây tác dụng phụ không?,1
Thuốc %,55
% - Cách dùng,18
