Context,Question,Final_Refined_Hint,Ground_Truth
"Tính vị: Vị đắng, cay, mùi thơm, tính ấm, quy kinh Can, Đởm, Tâm bào. Công dụng: Hành khí, hoạt huyết, bổ huyết, điều kinh, giảm đau, trừ phong… Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…2 Xem thêm: Hương nhu trắng: Cây thuốc rất hứa hẹn xung quanh ta",Xuyên khung được dùng để điều trị những bệnh nào?,"Chủ trị và Tính vị Công dụng:
- Nhức đầu
- Vị đắng
- Hành khí","Xuyên khung được dùng để điều trị nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…"
"Thuốc Acetylcystein 200 mg được chỉ định dùng trong các bệnh lý đường hô hấp:1 - Làm loãng đờm trong các bệnh phế quản – phổi cấp và mãn tính kèm theo sự tăng tiết chất nhầy.
- Làm thông đường hô hấp trong viêm khí quản, viêm phổi.
- Dùng làm thuốc giải độc trong quá liều Paracetamol.","Thuốc Acetylcystein 200 mg được dùng để làm gì trong viêm khí quản, viêm phổi?","Thuốc Acetylcystein 200 mg:
- Chỉ định dùng trong bệnh lý đường hô hấp","Thuốc Acetylcystein 200 mg dùng để làm thông đường hô hấp trong viêm khí quản, viêm phổi."
"Rau ngổ chứa 0.13% tinh dầu, flavonoid và tanin. Trong tinh dầu chủ yếu là d-limonen và d-penlaldehyd.",Rau ngổ có chứa những thành phần hóa học nào?,"Rau ngổ:
- Hàm lượng tinh dầu: 0.13%
- Thành phần chính của tinh dầu: d-limonen, d-penlaldehyd","Rau ngổ chứa 0,13% tinh dầu, flavonoid và tanin."
"- Lưu ý, cần phải điều chỉnh liều ở người suy thận vừa hoặc nặng và người đang thẩm phân thận nhân tạo.
- Không những vậy, cần điều chỉnh liều ở người suy gan.
- Lưu ý, ở một số người bệnh sử dụng cetirizine có hiện tượng ngủ gà, do vậy nên thận trọng khi lái xe, hoặc vận hành máy. Vì dễ gây nguy hiểm.
- Ngoài ra, tránh dùng đồng thời cetirizine với rượu và các thuốc ức chế thần kinh trung ương, vì làm tăng thêm tác dụng của các thuốc này",Cetirizine có thể tương tác với các loại thuốc nào?,"Merged Entity:
Rượu, Suy thận, Thuốc ức chế thần kinh trung ương và Suy gan, Cetirizine
- Tương tác thuốc: không nên dùng đồng thời với cetirizine
- Mức độ suy thận: vừa hoặc nặng
- Ảnh hưởng của suy gan: cần điều chỉnh liều thuốc
- Tác dụng phụ của cetirizine: gây ngủ gà","Cetirizine có thể tương tác với rượu và các thuốc ức chế thần kinh trung ương, làm tăng thêm tác dụng của các thuốc này. Do đó, tránh dùng đồng thời Cetirizine với rượu và các thuốc ức chế thần kinh trung ương."
"- Bệnh nhân liệt tiến triển, dần ra toàn thân.
- Bí tiểu tiện, đại tiện,…
- Liệt các cơ hô hấp, cuối cùng cũng dẫn đến tử vong, tuy có chậm hơn thể hung dữ. Bạn có thể tìm hiểu thêm: Trẻ bị thú cưng cắn, bạn đã xử trí đúng cách chưa?",Thể bại liệt là gì?,"Thể bệnh và tình trạng liên quan:
- Thể hung dữ (liệt tiến triển nhanh hơn)
- Trẻ bị thú cưng cắn
- Bệnh nhân liệt tiến triển",Thể bại liệt là một kiểu biểu hiện của bệnh dại.
"- Đái tháo nhạt trung ương. Tổn thương xuất hiện ở vùng hạ đồi hay tuyến yên. Các tác nhân gây thương tổn có thể là chấn thương đầu, phẫu thuật hay u. Khi đó, vùng hạ đồi và tuyến yên bị rối loạn chức năng, gây ảnh hưởng đến sự tiết hormone ADH. Một bệnh lý di truyền cũng có thể gây ra đái tháo nhạt trung ương thông qua cơ chế này.
- Đái tháo nhạt do thận. Nguyên nhân của đái tháo nhạt do thận là các rối loạn tại ống thận. Thông thường, ống thận sẽ tham gia tái hấp thu và đào thải dưới sự điều hòa của ADH. Các rối loạn tại ống thận làm mất sự điều hòa nội tiết này, gây ra bệnh. Nguyên nhân có thể do bệnh lý di truyền hay bệnh thận mạn tính. Một số thuốc như foscarnet, lithium hay thuốc kháng virus có thể gây ra tình trạng tương tự.
- Đái tháo nhạt thai kỳ. Đây là một tình trạng hiếm gặp. Bệnh lý xảy ra khi mang thai, nhau thai gây phá hủy ADH trong máu của người mẹ.
- Chứng uống nhiều tiên phát (cuồng uống nguyên phát). Nguyên nhân là do bệnh nhân uống quá nhiều nước, gây tiểu nhiều và làm loãng nước tiểu. Tình trạng này có liên quan đến bệnh lý tâm thần, như tâm thần phân liệt. Đôi khi bệnh không tìm được nguyên nhân. Một số trường hợp hiếm gặp có ghi nhận bệnh tự miễn gây tổn thương tế bào sản xuất ADH, dẫn đến bệnh đái tháo nhạt.",Những yếu tố gây ra hội chứng đái tháo nhạt trung ương là gì?,"Đái tháo nhạt thai kỳ, chứng uống nhiều tiên phát, đái tháo nhạt trung ương và đái tháo nhạt do thận:
- Tình trạng: xảy ra khi mang thai, do uống quá nhiều nước (chứng uống nhiều tiên phát), do tổn thương vùng hạ đồi, tuyến yên (đái tháo nhạt trung ương), hoặc do tổn thương ống thận (đái tháo nhạt do thận)
- Nguyên nhân: thay đổi nội tiết trong thai kỳ, thói quen uống nước quá mức, tổn thương vùng hạ đồi, tuyến yên hoặc tổn thương ống thận","Hội chứng đái tháo nhạt trung ương có thể xuất hiện do chấn thương đầu, phẫu thuật hay u làm tổn thương vùng hạ đồi hay tuyến yên, gây rối loạn chức năng sản sinh hormone ADH, ảnh hưởng đến khả năng tái hấp thu nước ở thận."
Các bệnh lý rối loạn đông máu toàn thân có thể gây ra kinh nguyệt kéo dài. Hai trong số bệnh lý thường gặp này là bệnh Hemophillia và bệnh Von Willebrand. Kinh nguyệt kéo dài có thể là dấu hiệu duy nhất của một trong những bệnh lý này hoặc có thể có các triệu chứng khác.,Hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài là gì?,"Rối loạn đông máu toàn thân trong bệnh Hemophilia và Bệnh Von Willebrand:
- Kinh nguyệt kéo dài có thể là dấu hiệu duy nhất của rối loạn đông máu toàn thân
- Rối loạn đông máu toàn thân có triệu chứng là kinh nguyệt kéo dài
- Bệnh Hemophilia là một loại rối loạn đông máu
- Bệnh Von Willebrand cũng là một loại rối loạn đông máu",Bệnh Hemophillia và bệnh Von Willebrand là hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài.
"Như đã nói ở trên, liên cầu nhóm B có thể xuất hiện ở người khoẻ mạnh. Bạn có thể nhiễm vi trùng này rồi tự khỏi. Chúng cứ xuất hiện rồi lại biến mất, hoặc cư trú thường xuyên trong cơ thể bạn. Đặc biệt, vi khuẩn này không lây truyền qua đường tình dục, cũng không lây lan qua thức ăn, nước uống. Phương thức lây truyền của vi khuẩn này từ người sang người vẫn chưa được biết rõ. Đối với trẻ sơ sinh, trẻ nhiễm liên cầu từ mẹ. Trong quá trình sinh, khi đi qua âm đạo, trẻ tiếp xúc và nhiễm vi khuẩn này.",Có thể nào một người khỏe mạnh bị nhiễm liên cầu nhóm B không?,"Trẻ sơ sinh và Liên cầu nhóm B:
- Nhiễm liên cầu nhóm B từ mẹ
- Liên cầu nhóm B có thể xuất hiện ở người khoẻ mạnh","Có, người khỏe mạnh cũng có thể bị nhiễm liên cầu nhóm B."
"Lấy miếng quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống. Có thể hãm 2 – 3 lần nước để uống, loại tốt có thể hãm 5 – 6 lần nước. Rượu quế: nhục quế 6g rượu vừa đủ. Nhục quế giã nát, ngâm rượu trong 3 ngày, uống ấm. Thích hợp dùng khi bị đau nhức mình mẩy do cảm lạnh.",Chúng ta hãm nước nhục quế như thế nào?,"Miếng quế mài và Rượu quế:
- Đau nhức mình mẩy
- Hòa cùng nước để uống
- Nhục quế 6g","Bạn cắt nhục quế thành những miếng nhỏ sau đó cho vào ấm rồi chế thêm nước nóng vào, sau đó rót bỏ ngay. Tiếp theo lại chế nước sôi lần 2 sau đó chờ một lúc thì uống, có thể hãm nước nhục quế 2-3 lần, loại tốt có thể hãm 5-6 lần."
"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.",Làm thế nào để sử dụng Azibiotic?,"Azithromycin:
- Tần suất dùng: 1 lần/ngày",Azibiotic được dùng 1 lần/ngày.
