Sample_ID,Question,Context,Ground_Truth_Answer,Answer_vilm/vietcuna-3b-v2 (Extract_VI)
0,D-Cure có tác dụng dự phòng những bệnh gì?,"Thuốc D-Cure là sản phẩm có chứa hàm lượng vitamin D, giúp bổ sung vitamin D cho cơ thể. Sản phẩm này có tác dụng điều trị cũng như giúp dự phòng các bệnh cụ thể như: - Tình trạng thiếu hụt vitamin D.
- Bị bệnh loãng xương. ",D-Cure có tác dụng dự phòng tình trạng thiếu hụt vitamin D.,D-Cure có tác dụng dự phòng các bệnh như bị bệnh loãng xương.
1,Điều quan trọng cần làm khi dùng quá liều Atidogrel là gì?,"Trong các trường hợp có dấu hiệu bất thường do dùng quá liều hay khẩn cấp, bạn phải đến càng sớm càng tốt cơ sở y tế gần nhất. Hoặc bạn có thể liên hệ Trung tâm cấp cứu 115 để được xử trí ngay lập tức. Người thân cần khai báo cho bác sĩ tất cả các thuốc kê toa và không kê toa đang dùng.",Đi đến cơ sở y tế gần nhất hoặc liên hệ Trung tâm cấp cứu 115 càng sớm càng tốt.,"Khi dùng quá liều Atidogrel, bạn cần đến ngay cơ sở y tế gần nhất."
2,Nước Hương nhu được sử dụng như thế nào?,"Tác dụng dược lý chống lại Streptococcus mutans, “con sâu răng huyền thoại”, cho thấy Hương nhu có thể được sử dụng như một loại nước súc miệng. Loại nước “thần dược” này dùng điều trị hôi miệng, nha chu và loét miệng. Hiệu quả tương đương 0,2% Clorhexidine và Listerine, ưu việt hơn vì có mùi dễ chịu. Sự kết hợp độc đáo giữa các hoạt động chống oxy hóa, chống viêm và giảm đau cũng giúp ích cho việc chữa lành vết thương. Có thể chữa lành vết loét do rượu, meloxicam và loét do căng thẳng gây ra. Bằng cách giảm bài tiết axit pepsin và peroxid, tăng cường yếu tố bảo vệ dạ dày như tiết chất nhầy và tăng tuổi thọ tế bào niêm mạc.","Nước Hương nhu có thể được sử dụng như một loại nước súc miệng để hỗ trợ điều trị các vấn đề như hôi miệng, nha chu và loét miệng.",Nước Hương nhu được sử dụng như một loại nước súc miệng.
3,Dầu mù u có thể gây ra tác dụng phụ gì?,"Dầu mù u được xem là an toàn khi sử dụng tại chỗ, nhưng có thể gây dị ứng ở một số người. Khi có các triệu chứng ngứa, đỏ, kích ứng hoặc gặp các tác dụng phụ khác khi bôi loại dầu này lên da thì hãy ngừng sử dụng ngay lập tức.",Dầu mù u có thể gây dị ứng ở một số người.,"Dầu mù u có thể gây dị ứng, ngứa, đỏ, kích ứng hoặc gặp các tác dụng phụ khác khi bôi lên da."
4,"Rễ, cành và thân Bướm bạc được dùng để trị loại bệnh nào?","Hoa Bướm bạc được dùng làm thuốc lợi tiểu, chữa ho hen, sốt cách nhật. Dùng ngoài giã nát đắp lên những nơi sưng tấy, gãy xương. Rễ, cành và thân Bướm bạc dùng làm thuốc giảm đau, chữa tê thấp, khí hư bạch đới (mệt mỏi, chán ăn, dịch âm đạo màu trắng xuất hiện bất thường…). Viện Y học Cổ truyền đã xây dựng một phác đồ điều trị ho, viêm họng đỏ hoặc viêm amidan cấp với lá và thân Bướm bạc 150g/ngày, sắc uống trong 3 ngày.","Rễ, cành và thân Bướm bạc được dùng để trị bệnh đau nhức, tê thấp, khí hư bạch đới.","Rễ, cành và thân Bướm bạc được dùng để chữa bệnh viêm khớp, viêm khớp dạng thấp, viêm xương khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp, viêm khớp"
5,Nhục thung dung thường cao bao nhiêu?,"Cây thường cao khoảng từ 15 đến 30cm, có khi cao tới hàng mét. Vào các tháng 5, tháng 6 cây ra hoa dày đặc; hoa mọc ra từ chóp, có màu vàng nhạt, hình chuông, xẻ 5 cánh, cánh hoa màu xanh hoặc tím nhạt; tới các tháng 6, tháng 7 kết quả, nhỏ li ti, màu xám. Phần thân rễ phát triển thành củ, người ta dùng bộ phận này để làm thuốc. Củ to mập, mềm, nhiều dầu, bên ngoài có vảy mịn, mềm, màu đen là nhục thung dung có chất lượng tốt.","Cây thường cao khoảng từ 15 đến 30cm, có khi cao tới hàng mét.","Cây thường cao khoảng từ 15 đến 30cm, có khi cao tới hàng mét. Vào các tháng 5, tháng 6 cây ra hoa dày đặc; hoa mọc ra từ chóp, có màu vàng nhạt, hình chuông, xẻ 5 cánh, cánh hoa màu xanh hoặc tím nhạt; tới các tháng 6, tháng 7 kết quả, nhỏ li ti, màu xám. Phần thân rễ phát triển thành củ, người ta dùng bộ phận này để làm thuốc. Củ to mập, mềm, nhiều dầu, bên ngoài có vảy mịn, mềm, màu đen là nhục thung dung có chất lượng tốt."
6,Allopurinol 300 mg được dùng để điều trị những tình trạng nào?,"Thuốc Allopurinol 300 mg được chỉ định dùng để: - Điều trị tăng acid uric máu do viêm khớp gout mạn tính lâu dài.
- Bệnh sỏi thận do acid uric (kèm theo hoặc không kèm theo viêm khớp do gout).
- Điều trị sỏi calci oxalat tái phát ở nam có bài tiết urat trong nước tiểu trên 800 mg/ngày và 750 mg/ngày.
- Điều trị tăng acid uric máu khi dùng hóa trị ung thư trong bệnh bạch cầu, lympho, u ác tính đặc.","Allopurinol 300 mg được sử dụng để điều trị tăng acid uric máu do viêm khớp gout mạn tính lâu dài, bệnh sỏi thận do acid uric, điều trị sỏi calci oxalat tái phát ở nam và điều trị tăng acid uric máu khi dùng hóa trị ung thư.",Allopurinol 300 mg được dùng để điều trị bệnh sỏi thận do acid uric (kèm theo hoặc không kèm theo viêm khớp do gout).
7,Da của người bệnh Sarcoidosis xuất hiện triệu chứng như thế nào?," - Nổi ban đỏ hoặc nốt đỏ tím, thường ở cẳng chân hoặc mắt cá chân, có thể gây nóng và đau.
- Các vết loét xấu trên mũi, má và tai.
- Vùng da tăng hoặc giảm sắc tố.
- Nốt dưới da, đặc biệt ở quanh sẹo hoặc vết xăm.  ","Da của người bệnh Sarcoidosis thường xuất hiện dưới dạng các nốt đỏ tím hoặc mảng ban đỏ tím, đặc biệt ở cẳng chân và mắt cá chân, và có thể gây cảm giác nóng rát và đau.","Sarcoidosis là một bệnh về hệ thống miễn dịch, có thể dẫn đến các triệu chứng như viêm da, viêm khớp, viêm phổi, viêm xương khớp, viêm khớp dạng thấp, viêm da, viêm da dị ứng, viêm da tiếp xúc, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da, viêm da,"
8,Triệu chứng muộn khi sử dụng Calcigenol liều cao và kéo dài là gì?,"Khi sử dụng Calcigenol liều cao và kéo dài có thể gây quá liều vitamin D, tăng canxi và phospho máu. Triệu chứng sớm gồm yếu cơ, mệt mỏi, ngủ gà, đau đầu, chán ăn, khô miệng, có vị kim loại, buồn nôn, nôn, đau bụng, táo bón, chóng mặt, ù tai, phát ban, yếu cơ, đau cơ. Triệu chứng muộn gồm vôi hóa thận, sỏi thận, tổn thương thận (tiểu nhiều, tiểu đêm, uống nhiều).4","Triệu chứng muộn gồm vôi hóa thận, sỏi thận, tổn thương thận (tiểu nhiều, tiểu đêm, uống nhiều).","Triệu chứng muộn khi sử dụng Calcigenol liều cao và kéo dài là vôi hóa thận, sỏi thận và tổn thương thận (tiểu nhiều, tiểu đêm, uống nhiều)."
9,Người bệnh sỏi túi mật có thể dùng thuốc tan sỏi?,"Người bệnh không nên tự ý điều trị sỏi túi mật tại nhà khi chưa được bác sĩ thăm khám và chẩn đoán do các triệu chứng của bệnh dễ gây nhầm lẫn với một số bệnh lý khác dẫn đến chậm trễ trong chiến lược điều trị. Khi người bệnh đã được chẩn đoán đầy đủ và đủ điều kiện để điều trị tại nhà, bác sĩ có thể tư vấn các phương pháp sau:1 2 3 4 Điều chỉnh lối sống và chế độ dinh dưỡng - Tăng cường vận động thể lực ít nhất 2 – 3 tiếng/tuần.
- Ăn nhiều rau xanh và trái cây, hạn chế các loại thức ăn nhiều tinh bột, nhiều dầu mỡ.
- Kiểm soát cân nặng, giảm cân đúng cách. Dùng thuốc tan sỏi Thuốc tan sỏi (Actigall hay Chenix): Bản chất là axit mật được trích xuất từ mật gấu (Ursodeoxycholic acid) và mật ngỗng (Chenodeoxycholic acid). Tuy nhiên, các loại thuốc này thường chỉ dùng cho sỏi cholesterol kích thước nhỏ. Liệu trình điều trị kéo dài nhiều tháng và nguy cơ tái phát cao và vẫn có khả năng có biến chứng nếu sỏi chưa tan hết.","Người bệnh sỏi túi mật có thể dùng thuốc tan sỏi, bao gồm Actigall và Cheni","Có, người bệnh sỏi túi mật có thể dùng thuốc tan sỏi."
