user_input,retrieved_contexts,response,reference,factual_correctness(mode=f1),faithfulness,semantic_similarity
Tại sao cần đưa bệnh nhân đến bệnh viện ngay khi dùng quá liều Alzental Shinpoong?,"['Khi quá liều Alzental Shinpoong, bệnh nhân sẽ có triệu chứng như phản ứng sốc phản vệ, phát ban, rụng tóc nhiều. Nhiều biểu hiện nghiêm trọng hơn nhiều như suy giảm bạch cầu, suy giảm chức năng gan.4 Do đó, hãy đến bệnh viện ngay lập tức và mang theo thuốc để bác sĩ có thể tìm lí do dễ dàng và xử trí kịp thời.']","Alzental Shinpoong chứa thuốc chống đông máu, dùng quá liều có thể gây đông máu tự nhiên, nguy hiểm đến tính mạng.","Việc đưa bệnh nhân đến bệnh viện ngay khi dùng quá liều Alzental Shinpoong rất quan trọng vì có thể xuất hiện nhiều biểu hiện nguy hiểm hơn như suy giảm bạch cầu, suy giảm chức năng gan.",0.0,0.0,0.9080706633528632
Hút thuốc lá có ảnh hưởng như thế nào đến nguy cơ mắc ung thư biểu mô tế bào gan?,"['Không có biện pháp nào có thể phòng ngừa không mắc phải ung thư biểu mô tế bào gan một cách tuyệt đối. Tuy nhiên, có nhiều biện pháp dự phòng khác nhau có thể thực hiện nhằm giảm thiểu khả năng mắc phải loại ung thư này, đó là can thiệp kiểm soát các yếu tố nguy cơ:1 5 6 7 11 - Tiêm ngừa viêm gan siêu vi B.\n- Hạn chế sử dụng đồ uống có cồn, không hút thuốc lá (kể cả hút thụ động khói thuốc lá từ người khác).\n- Chẩn đoán và điều trị sớm các bệnh gan nền mạn tính như viêm gan siêu vi B, C, bệnh gan nhiễm mỡ không do rượu, viêm gan nhiễm mỡ không do rượu, bệnh ứ sắt,…\n- Thực hành quan hệ tình dục an toàn.\n- Không dùng chung bơm kim tiêm với người khác.\n- Chế độ ăn lành mạnh, kiểm soát cân nặng, hạn chế béo phì và điều trị kiểm soát ổn định bệnh đái tháo đường.\n- Thực hiện các thủ thuật như xăm mình, tạo hình thẩm mỹ,… tại các cơ sở được cấp phép và chứng nhận an toàn. Về phía nhân viên y tế và các cơ sở y tế cần bổ sung thêm: - Thực hành an toàn trong tiêm truyền, các thủ thuật, phẫu thuật trên người bệnh.\n- Tầm soát kiểm tra các chế phẩm hiến tặng như máu, mô, cơ quan nội tạng.']",Hút thuốc lá tăng nguy cơ mắc ung thư biểu mô tế bào gan.,"Hút thuốc lá làm tăng nguy cơ mắc ung thư biểu mô tế bào gan. Vì thế, nên hạn chế sử dụng đồ uống có cồn, không hút thuốc lá (kể cả hút thụ động khói thuốc lá từ người khác).",0.5,1.0,0.9610163679220469
Tỳ bà diệp được sử dụng như thế nào trong dân gian?,"['Bán hạ 4g, Mao căn 80g, Nhân sâm 4g, Phục linh 20g, Sinh khương 7 lát, Tỳ bà diệp 8g. Sắc uống (Tỳ Bà Diệp ẩm – Loại Chứng Phổ Tế Bản Sự Phương). Tỳ bà diệp là một vị thuốc cổ truyền được sử dụng từ rất lâu trong dân gian. Nhờ có nhiều tác dụng quý mà dược liệu này được dùng nhiều trong các bài thuốc chữa bệnh cũng như cuộc sống hằng ngày. Tuy nhiên, để có thể phát huy hết công dụng của vị thuốc đối với sức khỏe, bạn nên tham khảo ý kiến bác sĩ để kiểm soát rủi ro và những tác dụng không mong muốn. Hãy chia sẻ bài viết nếu thấy hữu ích. Bác sĩ Phạm Lê Phương Mai']","Tỳ bà diệp được sử dụng trong dân gian để điều trị các bệnh về đường tiêu hóa như đau bụng, đầy hơi, tiêu chảy. Ngoài ra, nó còn được dùng để giảm đau răng và viêm amidan.","Trong dân gian, Tỳ bà diệp là vị thuốc cổ truyền, được sử dụng rất lâu đời.",0.0,0.0,0.9115880947864783
Nếu khi dùng thuốc Alsiful S.R xuất hiện bất kỳ một triệu chứng nào bất thường thì phải làm gì?,"['Trên thị trường hiện nay thuốc Alsiful S.R được bán với giá tham khảo 310.000 – 380.000 VNĐ cho hộp 3 vỉ x 10 viên. Mức giá có thể chênh lệch tùy thuộc vào thời điểm mua thuốc và các nhà thuốc, cửa hàng khác nhau. Trên đây là các thông tin chi tiết về công dụng, cách dùng và tác dụng phụ của thuốc Alsiful S.R. Hãy gọi ngay cho các nhân viên y tế nếu xuất hiện bất kỳ một triệu chứng nào bất thường để có thể được xử trí và hỗ trợ kịp thời nhé! Mong rằng những thông tin Dược sĩ Phan Tiểu Long đã cung cấp sẽ giúp ích được cho bạn!']","Nếu gặp bất kỳ triệu chứng bất thường khi dùng thuốc Alsiful S.R, nên ngưng sử dụng thuốc và liên hệ với bác sĩ ngay.",Cần gọi ngay cho các nhân viên y tế để có thể được xử trí và hỗ trợ kịp thời.,0.67,0.6666666666666666,0.8167253878604416
"Ngoài giảm đau, Acepron 250 mg còn có thêm tác dụng nào khác?","['Các chỉ định của thuốc Acepron 250 mg như sau: Điều trị sốt và giảm các triệu chứng đau từ nhẹ tới vừa: - Sử dụng trong các dạng đau: Nhức đầu, đau răng, đau nhức do cảm cúm, sốt, đau cơ. Thuốc không có tác dụng trong điều trị thấp khớp và các cơn đau bắt nguồn từ nội tạng.\n- Giảm thân nhiệt ở những người có triệu chứng sốt do: cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật…']",Acepron 25ml còn có tác dụng chống viêm.,"Ngoài tác dụng giảm đau, Acepron 250 mg còn có thêm tác dụng giảm thân nhiệt ở những người có triệu chứng sốt do cảm cúm, sốt xuất huyết, nhiễm khuẩn, nhiễm siêu vi, mọc răng, sau khi tiêm chủng, sau phẫu thuật.",0.0,0.0,0.8867793854695315
Có bao nhiêu chất hoạt tính sinh học quan trọng trong Tang ký sinh?,"['Các thành phần hoạt tính sinh học quan trọng trong Tang ký sinh là coriaria lacton bao gồm sesquiterpene lacton: coriamyrtin, tutin, corianin và coriatin.']",12,Có 4 chất hoạt tính sinh học quan trọng trong Tang ký sinh.,0.0,0.0,0.7327215300057041
"Khi chăm sóc trẻ nhỏ bị tiêu chảy tại nhà, phụ huynh cần quan sát những dấu hiệu bất thường nào?","['- Tránh sử dụng các biện pháp khắc phục tiêu chảy tại nhà như uống sữa đun sôi hoặc nước gạo.\n- Đồ uống bù nước và điện giải cho vận động viên thể thao cũng không được khuyến khích cho trẻ nhỏ. Các sản phẩn đồ uống đó có xu hướng thêm đường để giúp các vận động viên trong quá trình hoạt động thể chất mạnh mẽ. Nhưng đó không phải là một chất lỏng thay thế thích hợp.\n- Thực phẩm và chất lỏng có hàm lượng đường cao. Chẳng hạn như nước trái cây, bánh quy, bánh ngọt và soda, có thể góp phần gây ra nặng thêm tình trạng tiêu chảy. Nguyên nhân do kéo thêm chất lỏng vào ruột, khiến chất lỏng và đường dư thừa nhanh chóng thoát ra ngoài.\n- Phụ huynh nên quan sát kĩ các dấu hiệu bất thường ở trẻ. Thời gian bắt đầu, các triệu chứng đã xuất hiện, kéo dài bao lâu. Nhận biết các dấu hiệu nặng để báo với bác sĩ càng đầy đủ càng tốt, để bác sĩ nhanh chóng xác định nguyên nhân và điều trị sớm.']","- Đầy hơi hoặc khó thở
- Không chịu ăn hoặc uống nước
- Đỏ rát khi đi tiêu
- Giảm cân nhanh
- Đỏ rát ở vùng kín ở bé gái","Phụ huynh nên quan sát kỹ các dấu hiệu bất thường ở trẻ như thời gian bắt đầu, các triệu chứng đã xuất hiện, kéo dài bao lâu và nhận biết các dấu hiệu nặng để báo với bác sĩ càng đầy đủ càng tốt, để bác sĩ nhanh chóng xác định nguyên nhân và điều trị sớm.",0.0,0.5,0.8475951715661756
Hố yên trong trường hợp vô căn có đặc điểm gì?,"['Ở một số bệnh nhân suy tuyến yên, không tìm thấy một nguyên nhân rõ ràng. Bệnh cảnh này thường có tính gia đình (liên quan nhiễm sắc thể giới tính X hoặc nhiễm sắc thể thường), hố yên có thể nhỏ, rộng hoặc bình thường.']","Hố yên trong trường hợp vô căn có hình dạng hình thang, có độ sâu trung bình khoảng 1-2 cm, và thường nằm ở phía sau của ống niệu đạo.","Hố yên trong trường hợp vô căn có thể nhỏ, rộng hoặc bình thường.",0.0,0.0,0.907433662568168
"Nếu không được điều trị, huyết khối tĩnh mạch sâu có thể dẫn đến những biến chứng gì?","['Huyết khối tĩnh mạch sâu là tình trạng cục máu đông hình thành trong tĩnh mạch sâu. Đây thường là tĩnh mạch của chân, mặc dù nó cũng có thể xảy ra ở tĩnh mạch của cánh tay. Các yếu tố nguy cơ gây huyết khối tĩnh mạch sâu, bao gồm: - Bất động lâu.\n- Ung thư.\n- Béo phì.\n- Tổn thương mạch máu do chấn thương.\n- Và các rối loạn bẩm sinh dễ gây ra cục máu đông. Tình trạng này có thể khiến cho phần chi bị ảnh hưởng sưng lên, gây đau. Trong trường hợp xấu nhất, huyết khối tĩnh mạch sâu có thể vỡ ra và đi vào phổi, gây thuyên tắc phổi. Quyết định điều trị huyết khối tĩnh mạch sâu phụ thuộc vào kích thước của cục huyết khối, các triệu chứng và các yếu tố nguy cơ của một người. Các biện pháp điều trị thường liên quan đến việc chống đông máu để ngăn ngừa cục máu đông, hoặc để giảm kích thước của cục máu đông.']","Nếu không được điều trị, huyết khối tĩnh mạch sâu có thể dẫn đến biến chứng như đau đột ngột, phù chi, tổn thương phổi, và có thể gây tử vong.","Nếu không được điều trị, huyết khối tĩnh mạch sâu có thể khiến cho phần chi bị ảnh hưởng sưng lên, gây đau. Trong trường hợp xấu nhất, cục huyết khối có thể vỡ ra và đi vào phổi, gây thuyên tắc phổi.",0.67,0.8333333333333334,0.9598748252616487
Liều dùng tối đa của Aspegic cho trẻ em dưới 30 tháng tuổi là bao nhiêu?,['Tùy vào từng đối tượng mà Aspegic được chỉ định với các mức liều khác nhau: 1. Đối tượng là trẻ em: dùng theo cân nặng của trẻ 25 – 50 mg/ kg/ ngày chia dùng nhiều lần trong ngày. - Không dùng > 80 mg/ kg/ ngày đối với trẻ <30 tháng tuổi.\n- Dùng liều < 100 mg/ kg/ ngày đối với trẻ từ 15 tháng – 15 tuổi. 2. Đối tượng là người lớn: - Mỗi lần dùng liều từ 500 – 1000 mg.\n- Mỗi ngày chia ra làm 2 – 3 lần sử dụng.\n- Liều dùng tối đa là 4 g/ ngày. 3. Người bệnh cao tuổi - Mỗi lần dùng liều từ 500 – 1000 mg.\n- Mỗi ngày chia ra làm 2 – 3 lần sử dụng.\n- Liều dùng tối đa là 2 g/ ngày. 4. Bệnh nhân thấp khớp Có thể dùng tối đa 6g mỗi ngày và nên chia làm nhiều lần dùng.'],15 mg/ngày,Liều dùng tối đa của Aspegic cho trẻ em dưới 30 tháng tuổi là 80 mg/ kg/ ngày.,0.0,0.0,0.8278070673481761
