Sample_ID,Model,System_Prompt,Question,Context,Reasoning_Log,Ground_Truth_Answer,Internal_Reasoning
0,arcee-ai/Arcee-VyLinh,Reasoner_EN,Xuyên khung được dùng để điều trị những bệnh nào?,"Tính vị: Vị đắng, cay, mùi thơm, tính ấm, quy kinh Can, Đởm, Tâm bào. Công dụng: Hành khí, hoạt huyết, bổ huyết, điều kinh, giảm đau, trừ phong… Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…2 Xem thêm: Hương nhu trắng: Cây thuốc rất hứa hẹn xung quanh ta","Follow-up Question: What are the main indications for Xuyên khung (Tangerine Peel) based on the provided context?
Follow-up Answer: Based on the provided context, the main indications for Xuyên khung (Tangerine Peel) are:

1. Nhức đầu
2. Hoa mắt
3. Phong thấp
4. Đau mỏi cơ thể
5. Kinh nguyệt không đều
6. Cảm mạo","Xuyên khung được dùng để điều trị nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…","Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo"
1,arcee-ai/Arcee-VyLinh,Reasoner_EN,"Thuốc Acetylcystein 200 mg được dùng để làm gì trong viêm khí quản, viêm phổi?","Thuốc Acetylcystein 200 mg được chỉ định dùng trong các bệnh lý đường hô hấp:1 - Làm loãng đờm trong các bệnh phế quản – phổi cấp và mãn tính kèm theo sự tăng tiết chất nhầy.
- Làm thông đường hô hấp trong viêm khí quản, viêm phổi.
- Dùng làm thuốc giải độc trong quá liều Paracetamol.","Follow-up Question: What specific indications does Acetylcysteine 200 mg have for the treatment of viral or bacterial infections in the respiratory tract?
Follow-up Answer: Based on the provided context, Acetylcysteine 200 mg is not specifically indicated for the treatment of viral or bacterial infections in the respiratory tract. The context only mentions its use in conditions such as phlegm in lung diseases, inflammation of the airways, and as a detoxification medication for acetaminophen overdose. It does not mention any indications for viral or bacterial respiratory tract infections.","Thuốc Acetylcystein 200 mg dùng để làm thông đường hô hấp trong viêm khí quản, viêm phổi.","Thuốc Acetylcystein 200 mg được dùng để làm thông đường hô hấp trong viêm khí quản, viêm phổi."
2,arcee-ai/Arcee-VyLinh,Reasoner_EN,Rau ngổ có chứa những thành phần hóa học nào?,"Rau ngổ chứa 0.13% tinh dầu, flavonoid và tanin. Trong tinh dầu chủ yếu là d-limonen và d-penlaldehyd.","Follow-up Question: What are the key chemical components found in rau ngổ?
Follow-up Answer: The key chemical components found in rau ngổ are tinh dầu (0.13%), flavonoid, and tanin. The tinh dầu contains primarily d-limonen and d-penlaldehyd.","Rau ngổ chứa 0,13% tinh dầu, flavonoid và tanin.","Rau ngổ chứa tinh dầu, flavonoid và tanin. Trong tinh dầu chủ yếu là d-limonen và d-penlaldehyd."
3,arcee-ai/Arcee-VyLinh,Reasoner_EN,Cetirizine có thể tương tác với các loại thuốc nào?,#NAME?,"Follow-up Question: What other medications should be used with caution when taking cetirizine?
Follow-up Answer: When taking cetirizine, other medications that should be used with caution include alcohol and drugs that ức chế thần kinh trung ương, as they can increase the effects of these medications.","Cetirizine có thể tương tác với rượu và các thuốc ức chế thần kinh trung ương, làm tăng thêm tác dụng của các thuốc này. Do đó, tránh dùng đồng thời Cetirizine với rượu và các thuốc ức chế thần kinh trung ương.",Cetirizine có thể tương tác với rượu và các loại thuốc ức chế thần kinh trung ương.
4,arcee-ai/Arcee-VyLinh,Reasoner_EN,Thể bại liệt là gì?,#NAME?,"Follow-up Question: The single most important and concise question to answer first in order to comprehensively answer the main question ""Thể bại liệt là gì?"" would be:
Follow-up Answer: What does ""thể bại liệt"" mean in medical terms?",Thể bại liệt là một kiểu biểu hiện của bệnh dại.,Thể bại liệt là thể bệnh
5,arcee-ai/Arcee-VyLinh,Reasoner_EN,Những yếu tố gây ra hội chứng đái tháo nhạt trung ương là gì?,"- Đái tháo nhạt trung ương. Tổn thương xuất hiện ở vùng hạ đồi hay tuyến yên. Các tác nhân gây thương tổn có thể là chấn thương đầu, phẫu thuật hay u. Khi đó, vùng hạ đồi và tuyến yên bị rối loạn chức năng, gây ảnh hưởng đến sự tiết hormone ADH. Một bệnh lý di truyền cũng có thể gây ra đái tháo nhạt trung ương thông qua cơ chế này.
- Đái tháo nhạt do thận. Nguyên nhân của đái tháo nhạt do thận là các rối loạn tại ống thận. Thông thường, ống thận sẽ tham gia tái hấp thu và đào thải dưới sự điều hòa của ADH. Các rối loạn tại ống thận làm mất sự điều hòa nội tiết này, gây ra bệnh. Nguyên nhân có thể do bệnh lý di truyền hay bệnh thận mạn tính. Một số thuốc như foscarnet, lithium hay thuốc kháng virus có thể gây ra tình trạng tương tự.
- Đái tháo nhạt thai kỳ. Đây là một tình trạng hiếm gặp. Bệnh lý xảy ra khi mang thai, nhau thai gây phá hủy ADH trong máu của người mẹ.
- Chứng uống nhiều tiên phát (cuồng uống nguyên phát). Nguyên nhân là do bệnh nhân uống quá nhiều nước, gây tiểu nhiều và làm loãng nước tiểu. Tình trạng này có liên quan đến bệnh lý tâm thần, như tâm thần phân liệt. Đôi khi bệnh không tìm được nguyên nhân. Một số trường hợp hiếm gặp có ghi nhận bệnh tự miễn gây tổn thương tế bào sản xuất ADH, dẫn đến bệnh đái tháo nhạt.","Follow-up Question: What are the key factors that cause central diabetes insipidus?
Follow-up Answer: The key factors that cause central diabetes insipidus include:

1. Trauma to the brain (e.g., head injury, surgery, or tumor)
2. Genetic disorders
3. Disruption of the hypothalamic-pituitary axis (e.g., due to kidney disease or certain medications)","Hội chứng đái tháo nhạt trung ương có thể xuất hiện do chấn thương đầu, phẫu thuật hay u làm tổn thương vùng hạ đồi hay tuyến yên, gây rối loạn chức năng sản sinh hormone ADH, ảnh hưởng đến khả năng tái hấp thu nước ở thận.","Những yếu tố gây ra hội chứng đái tháo nhạt trung ương bao gồm chấn thương đầu, rối loạn di truyền và rối loạn chức năng của vùng hạ đồi và tuyến yên."
6,arcee-ai/Arcee-VyLinh,Reasoner_EN,Hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài là gì?,Các bệnh lý rối loạn đông máu toàn thân có thể gây ra kinh nguyệt kéo dài. Hai trong số bệnh lý thường gặp này là bệnh Hemophillia và bệnh Von Willebrand. Kinh nguyệt kéo dài có thể là dấu hiệu duy nhất của một trong những bệnh lý này hoặc có thể có các triệu chứng khác.,"Follow-up Question: What are the two common blood clotting disorders that cause prolonged menstruation?
Follow-up Answer: The two common blood clotting disorders that cause prolonged menstruation are Hemophilia and Von Willebrand disease.",Bệnh Hemophillia và bệnh Von Willebrand là hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài.,Hemophilia và Von Willebrand bệnh
7,arcee-ai/Arcee-VyLinh,Reasoner_EN,Có thể nào một người khỏe mạnh bị nhiễm liên cầu nhóm B không?,"Như đã nói ở trên, liên cầu nhóm B có thể xuất hiện ở người khoẻ mạnh. Bạn có thể nhiễm vi trùng này rồi tự khỏi. Chúng cứ xuất hiện rồi lại biến mất, hoặc cư trú thường xuyên trong cơ thể bạn. Đặc biệt, vi khuẩn này không lây truyền qua đường tình dục, cũng không lây lan qua thức ăn, nước uống. Phương thức lây truyền của vi khuẩn này từ người sang người vẫn chưa được biết rõ. Đối với trẻ sơ sinh, trẻ nhiễm liên cầu từ mẹ. Trong quá trình sinh, khi đi qua âm đạo, trẻ tiếp xúc và nhiễm vi khuẩn này.","Follow-up Question: What are the key symptoms or signs of infection with Group B Streptococcus in healthy individuals?
Follow-up Answer: Based on the provided context, there are no key symptoms or signs of infection with Group B Streptococcus (GBS) in healthy individuals. The context states that GBS can appear and disappear, or be present regularly in healthy people without symptoms. It also notes that while it can be transmitted from mother to newborn during birth, it typically does not cause symptoms in healthy adults.","Có, người khỏe mạnh cũng có thể bị nhiễm liên cầu nhóm B.",Người khỏe mạnh có thể bị nhiễm liên cầu nhóm B
8,arcee-ai/Arcee-VyLinh,Reasoner_EN,Chúng ta hãm nước nhục quế như thế nào?,"Lấy miếng quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống. Có thể hãm 2 – 3 lần nước để uống, loại tốt có thể hãm 5 – 6 lần nước. Rượu quế: nhục quế 6g rượu vừa đủ. Nhục quế giã nát, ngâm rượu trong 3 ngày, uống ấm. Thích hợp dùng khi bị đau nhức mình mẩy do cảm lạnh.","Follow-up Question: What is the correct method for steeping the quinine extract?
Follow-up Answer: The correct method for steeping the quinine extract involves:

1. Grate or cut the quinine into small pieces.
2. Pour hot water over the pieces.
3. Let it steep for a while, then strain out the pieces.
4. Repeat the steeping process with fresh hot water, allowing the extract to steep multiple times (2-3 times or up to 5-6 times for better quality).
5. Store the steeped liquid and drink it warm.","Bạn cắt nhục quế thành những miếng nhỏ sau đó cho vào ấm rồi chế thêm nước nóng vào, sau đó rót bỏ ngay. Tiếp theo lại chế nước sôi lần 2 sau đó chờ một lúc thì uống, có thể hãm nước nhục quế 2-3 lần, loại tốt có thể hãm 5-6 lần.","Lấy miếng quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống."
9,arcee-ai/Arcee-VyLinh,Reasoner_EN,Làm thế nào để sử dụng Azibiotic?,"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.","Follow-up Question: What is the correct dosage and administration schedule for Azithromycin?
Follow-up Answer: The correct dosage and administration schedule for Azithromycin is:

- For adults: 1 gram (1000 mg) in a single dose for treating STI (sexually transmitted infections).
- For other indications: 500 mg on the first day, followed by 250 mg daily for 4 days.
- Dosage for the elderly: Same as for adults.
- The specific dose should be determined by a doctor based on the patient's condition and individual characteristics.",Azibiotic được dùng 1 lần/ngày.,"Người lớn: 1 gam (1000 mg) trong một lần dùng cho điều trị bệnh lây qua đường tình dục. 500 mg trong lần dùng đầu tiên, tiếp theo là 250 mg/ngày trong 4 lần dùng."
