Sample_ID,Model,System_Prompt,Question,Context,Reasoning_Log,Ground_Truth_Answer,Internal_Reasoning
0,arcee-ai/Arcee-VyLinh,Reasoner_EN,Xuyên khung được dùng để điều trị những bệnh nào?,"Tính vị: Vị đắng, cay, mùi thơm, tính ấm, quy kinh Can, Đởm, Tâm bào. Công dụng: Hành khí, hoạt huyết, bổ huyết, điều kinh, giảm đau, trừ phong… Chủ trị: Nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…2 Xem thêm: Hương nhu trắng: Cây thuốc rất hứa hẹn xung quanh ta","Follow-up Question: Tên gọi chính xác của dược liệu được đề cập là gì?
Follow-up Answer: Tên gọi chính xác của dược liệu được đề cập là Hương nhu.

Follow-up Question: Dược liệu này có trị những bệnh gì?
Follow-up Answer: Dược liệu này trị những bệnh như: nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo.

Follow-up Question: Những triệu chứng nào là dấu hiệu để sử dụng dược liệu này?
Follow-up Answer: Những triệu chứng sau có thể được điều trị bằng dược liệu này:

1. Nhức đầu
2. Hoa mắt
3. Phong thấp
4. Đau mỏi cơ thể
5. Kinh nguyệt không đều
6. Cảm mạo","Xuyên khung được dùng để điều trị nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo,…","Xuyên khung được dùng để điều trị những bệnh như: nhức đầu, hoa mắt, phong thấp, đau mỏi cơ thể, kinh nguyệt không đều, cảm mạo."
1,arcee-ai/Arcee-VyLinh,Reasoner_EN,"Thuốc Acetylcystein 200 mg được dùng để làm gì trong viêm khí quản, viêm phổi?","Thuốc Acetylcystein 200 mg được chỉ định dùng trong các bệnh lý đường hô hấp:1 - Làm loãng đờm trong các bệnh phế quản – phổi cấp và mãn tính kèm theo sự tăng tiết chất nhầy.
- Làm thông đường hô hấp trong viêm khí quản, viêm phổi.
- Dùng làm thuốc giải độc trong quá liều Paracetamol.","Follow-up Question: Trong trường hợp viêm khí quản, thuốc Acetylcystein 200 mg được sử dụng để làm gì?
Follow-up Answer: Thuốc Acetylcystein 200 mg được sử dụng để làm thông đường hô hấp trong viêm khí quản.

Follow-up Question: Thuốc Acetylcystein 200 mg có tác dụng làm thông đường hô hấp trong viêm khí quản không?
Follow-up Answer: Yes, Acetylcysteine 200 mg has the effect of making the airways more open in cases of viral bronchitis.

Follow-up Question: Đối với viêm phổi, thuốc Acetylcystein 200 mg được sử dụng để làm gì?
Follow-up Answer: Thuốc Acetylcystein 200 mg được sử dụng để làm loãng chất nhầy trong viêm phổi, giúp thông thoáng đường hô hấp.","Thuốc Acetylcystein 200 mg dùng để làm thông đường hô hấp trong viêm khí quản, viêm phổi.",Thuốc Acetylcystein 200 mg được sử dụng để làm thông đường hô hấp trong viêm khí quản.
2,arcee-ai/Arcee-VyLinh,Reasoner_EN,Rau ngổ có chứa những thành phần hóa học nào?,"Rau ngổ chứa 0.13% tinh dầu, flavonoid và tanin. Trong tinh dầu chủ yếu là d-limonen và d-penlaldehyd.","Follow-up Question: What are the main chemical components found in Rau ngổ?
Follow-up Answer: The main chemical components found in Rau ngổ are tinh dầu (0.13%), flavonoid, and tanin. The tinh dầu contains d-limonen and d-penlaldehyd as its main components.

Follow-up Question: What is the concentration of tinh dầu (essential oil) in Rau ngổ?
Follow-up Answer: The concentration of tinh dầu (essential oil) in Rau ngổ is 0.13%.

Follow-up Question: What are the main flavonoid and tannin contents in Rau ngổ?
Follow-up Answer: The main flavonoid and tannin contents in Rau ngổ are not specified in the given context. The context only mentions that Rau ngổ contains 0.13% flavonoid and tannin, but it does not provide information on the main types or specific contents.","Rau ngổ chứa 0,13% tinh dầu, flavonoid và tanin.","Rau ngổ chứa tinh dầu (0.13%), flavonoid và tanin."
3,arcee-ai/Arcee-VyLinh,Reasoner_EN,Cetirizine có thể tương tác với các loại thuốc nào?,".- Lưu ý, cần phải điều chỉnh liều ở người suy thận vừa hoặc nặng và người đang thẩm phân thận nhân tạo.
- Không những vậy, cần điều chỉnh liều ở người suy gan.
- Lưu ý, ở một số người bệnh sử dụng cetirizine có hiện tượng ngủ gà, do vậy nên thận trọng khi lái xe, hoặc vận hành máy. Vì dễ gây nguy hiểm.
- Ngoài ra, tránh dùng đồng thời cetirizine với rượu và các thuốc ức chế thần kinh trung ương, Vì làm tăng thêm tác dụng của các thuốc này","Follow-up Question: What types of drugs should cetirizine be used with caution in conjunction with?
Follow-up Answer: Cetirizine should be used with caution in conjunction with:

1. Alcohol (Risks of drowsiness)
2. Other sedative drugs (e.g., drugs that ức chế thần kinh trung ương)

Follow-up Question: What are the potential side effects of cetirizine that might affect driving or operating machinery?
Follow-up Answer: The potential side effect of cetirizine that might affect driving or operating machinery is drowsiness, as it can cause ""sleepy"" effects in some people.

Follow-up Question: What precautions are necessary for people with liver or kidney issues when using cetirizine?
Follow-up Answer: For people with liver or kidney issues, additional caution is necessary when using cetirizine. Specifically, the medication should be adjusted in dosage for those with kidney issues, and they should be cautious when driving or operating machinery due to potential drowsiness. Additionally, they should avoid using it with alcohol or other central nervous system depressants to prevent increased sedative effects.","Cetirizine có thể tương tác với rượu và các thuốc ức chế thần kinh trung ương, làm tăng thêm tác dụng của các thuốc này. Do đó, tránh dùng đồng thời Cetirizine với rượu và các thuốc ức chế thần kinh trung ương.",Cetirizine nên được sử dụng với caution khi dùng cùng với rượu và các loại thuốc ức chế thần kinh trung ương vì làm tăng thêm tác dụng của chúng.
4,arcee-ai/Arcee-VyLinh,Reasoner_EN,Thể bại liệt là gì?,#NAME?,"Follow-up Question: What is the complete definition or description of ""thể bại liệt""?
Follow-up Answer: ""Thể bại liệt"" (Bệnh nhân liệt tiến triển) describes a patient with progressive paralysis that spreads throughout the body. Symptoms include urinary and fecal incontinence, paralysis of respiratory muscles, and eventual death, though this progression is typically slower than the ""thể hung dữ"" (severe) form.

Follow-up Question: What are the key symptoms of ""thể bại liệt""?
Follow-up Answer: The key symptoms of ""thể bại liệt"" (progressive paralysis) include:

1. Complete paralysis of the entire body.
2. Urinary and fecal incontinence.
3. Paralysis of respiratory muscles, leading to eventual death, though this may occur more slowly compared to the ""thể hung dữ"" (violent paralysis) form.

Follow-up Question: How does ""thể bại liệt"" typically progress in patients?
Follow-up Answer: ""Thể bại liệt"" typically progresses as follows in patients:
1. Initially, paralysis spreads from the limbs to the trunk.
2. It then affects the bladder and bowel functions.
3. Progressively, it affects respiratory muscles, leading to respiratory failure.
4. This process is generally slower than the ""thể hung dữ"" (severe form), but still leads to death.",Thể bại liệt là một kiểu biểu hiện của bệnh dại.,"""Bệnh nhân liệt tiến triển"" là thể bại liệt."
5,arcee-ai/Arcee-VyLinh,Reasoner_EN,Những yếu tố gây ra hội chứng đái tháo nhạt trung ương là gì?,"- Đái tháo nhạt trung ương. Tổn thương xuất hiện ở vùng hạ đồi hay tuyến yên. Các tác nhân gây thương tổn có thể là chấn thương đầu, phẫu thuật hay u. Khi đó, vùng hạ đồi và tuyến yên bị rối loạn chức năng, gây ảnh hưởng đến sự tiết hormone ADH. Một bệnh lý di truyền cũng có thể gây ra đái tháo nhạt trung ương thông qua cơ chế này.
- Đái tháo nhạt do thận. Nguyên nhân của đái tháo nhạt do thận là các rối loạn tại ống thận. Thông thường, ống thận sẽ tham gia tái hấp thu và đào thải dưới sự điều hòa của ADH. Các rối loạn tại ống thận làm mất sự điều hòa nội tiết này, gây ra bệnh. Nguyên nhân có thể do bệnh lý di truyền hay bệnh thận mạn tính. Một số thuốc như foscarnet, lithium hay thuốc kháng virus có thể gây ra tình trạng tương tự.
- Đái tháo nhạt thai kỳ. Đây là một tình trạng hiếm gặp. Bệnh lý xảy ra khi mang thai, nhau thai gây phá hủy ADH trong máu của người mẹ.
- Chứng uống nhiều tiên phát (cuồng uống nguyên phát). Nguyên nhân là do bệnh nhân uống quá nhiều nước, gây tiểu nhiều và làm loãng nước tiểu. Tình trạng này có liên quan đến bệnh lý tâm thần, như tâm thần phân liệt. Đôi khi bệnh không tìm được nguyên nhân. Một số trường hợp hiếm gặp có ghi nhận bệnh tự miễn gây tổn thương tế bào sản xuất ADH, dẫn đến bệnh đái tháo nhạt.","Follow-up Question: Những yếu tố nào có thể gây ra tổn thương vùng hạ đồi hay tuyến yên?
Follow-up Answer: Những yếu tố có thể gây ra tổn thương vùng hạ đồi hay tuyến yên bao gồm:

1. Chấn thương đầu
2. Phẫu thuật
3. U
4. Bệnh lý di truyền di truyền

Các yếu tố này có thể gây ra rối loạn chức năng vùng hạ đồi và tuyến yên, dẫn đến rối loạn tiết hormone ADH và gây ra đái tháo nhạt trung ương.

Follow-up Question: Các rối loạn tại ống thận có thể gây ra đái tháo nhạt do thận không?
Follow-up Answer: Các rối loạn tại ống thận có thể gây ra đái tháo nhạt do thận.

Follow-up Question: Bệnh lý di truyền có thể gây ra đái tháo nhạt trung ương qua cơ chế nào?
Follow-up Answer: Bệnh lý di truyền có thể gây ra đái tháo nhạt trung ương qua cơ chế rối loạn chức năng của vùng hạ đồi và tuyến yên, dẫn đến rối loạn tiết hormone ADH.","Hội chứng đái tháo nhạt trung ương có thể xuất hiện do chấn thương đầu, phẫu thuật hay u làm tổn thương vùng hạ đồi hay tuyến yên, gây rối loạn chức năng sản sinh hormone ADH, ảnh hưởng đến khả năng tái hấp thu nước ở thận.","Những yếu tố có thể gây ra hội chứng đái tháo nhạt trung ương bao gồm chấn thương đầu, phẫu thuật, u và bệnh lý di truyền di truyền."
6,arcee-ai/Arcee-VyLinh,Reasoner_EN,Hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài là gì?,Các bệnh lý rối loạn đông máu toàn thân có thể gây ra kinh nguyệt kéo dài. Hai trong số bệnh lý thường gặp này là bệnh Hemophillia và bệnh Von Willebrand. Kinh nguyệt kéo dài có thể là dấu hiệu duy nhất của một trong những bệnh lý này hoặc có thể có các triệu chứng khác.,"Follow-up Question: Nêu tên hai bệnh lý rối loạn đông máu thường gặp gây kinh nguyệt kéo dài?
Follow-up Answer: Hemophilia và bệnh Von Willebrand là hai bệnh lý rối loạn đông máu thường gặp gây kinh nguyệt kéo dài.

Follow-up Question: Bệnh Hemophilia và bệnh Von Willebrand có liên quan đến rối loạn đông máu toàn thân không?
Follow-up Answer: Có, bệnh Hemophilia và bệnh Von Willebrand đều liên quan đến rối loạn đông máu toàn thân.

Follow-up Question: Bệnh Hemophilia và bệnh Von Willebrand có thể gây ra kinh nguyệt kéo dài không?
Follow-up Answer: Có, bệnh Hemophilia và bệnh Von Willebrand có thể gây ra kinh nguyệt kéo dài.",Bệnh Hemophillia và bệnh Von Willebrand là hai trong số bệnh lý rối loạn đông máu thường gặp gây ra kinh nguyệt kéo dài.,Hemophilia và bệnh Von Willebrand là hai trong số bệnh lý rối loạn đông máu thường gặp gây kinh nguyệt kéo dài.
7,arcee-ai/Arcee-VyLinh,Reasoner_EN,Có thể nào một người khỏe mạnh bị nhiễm liên cầu nhóm B không?,"Như đã nói ở trên, liên cầu nhóm B có thể xuất hiện ở người khoẻ mạnh. Bạn có thể nhiễm vi trùng này rồi tự khỏi. Chúng cứ xuất hiện rồi lại biến mất, hoặc cư trú thường xuyên trong cơ thể bạn. Đặc biệt, vi khuẩn này không lây truyền qua đường tình dục, cũng không lây lan qua thức ăn, nước uống. Phương thức lây truyền của vi khuẩn này từ người sang người vẫn chưa được biết rõ. Đối với trẻ sơ sinh, trẻ nhiễm liên cầu từ mẹ. Trong quá trình sinh, khi đi qua âm đạo, trẻ tiếp xúc và nhiễm vi khuẩn này.","Follow-up Question: Có thể liên cầu nhóm B xuất hiện ở người khỏe mạnh không?
Follow-up Answer: Có thể liên cầu nhóm B xuất hiện ở người khỏe mạnh.

Follow-up Question: Vi khuẩn liên cầu nhóm B có lây truyền qua đường tình dục không?
Follow-up Answer: Vi khuẩn liên cầu nhóm B không lây truyền qua đường tình dục.

Follow-up Question: Vi khuẩn liên cầu nhóm B có lây truyền qua thức ăn, nước uống không?
Follow-up Answer: Vi khuẩn liên cầu nhóm B không lây truyền qua đường thức ăn, nước uống.","Có, người khỏe mạnh cũng có thể bị nhiễm liên cầu nhóm B.",Người khỏe mạnh có thể bị nhiễm vi khuẩn liên cầu nhóm B rồi tự khỏi.
8,arcee-ai/Arcee-VyLinh,Reasoner_EN,Chúng ta hãm nước nhục quế như thế nào?,"Lấy miếng quế mài ra, hòa cùng nước để uống. Pha như pha trà: gọt quết thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót đổ bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống. Có thể hãm 2 – 3 lần nước để uống, loại tốt có thể hãm 5 – 6 lần nước. Rượu quế: nhục quế 6g rượu vừa đủ. Nhục quế giã nát, ngâm rượu trong 3 ngày, uống ấm. Thích hợp dùng khi bị đau nhức mình mẩy do cảm lạnh.","Follow-up Question: How is the quinine powder mixed with water?
Follow-up Answer: The quinine powder is mixed with water by grating it into small pieces, placing it in a teapot, adding hot water, and then immediately pouring it out. It can also be re-hydrated with boiling water a second time, allowing it to steep and cool before drinking.

Follow-up Question: How is the water added to the quinine powder?
Follow-up Answer: The water is added to the quinine powder by pouring hot water into an ấm (pot or bowl) containing the powdered quinine, and then the mixture is poured out immediately. Subsequently, hot water is added again, allowing it to steep, and then the mixture is allowed to cool before drinking.

Follow-up Question: How many times can the quinine be steeped in water?
Follow-up Answer: The quinine can be steeped 2-3 times in water, and in high-quality quinine, it can be steeped up to 5-6 times.","Bạn cắt nhục quế thành những miếng nhỏ sau đó cho vào ấm rồi chế thêm nước nóng vào, sau đó rót bỏ ngay. Tiếp theo lại chế nước sôi lần 2 sau đó chờ một lúc thì uống, có thể hãm nước nhục quế 2-3 lần, loại tốt có thể hãm 5-6 lần.","Lấy quế mài thành từng miếng nhỏ, bỏ vào ấm cho nước nóng vào rồi rót bỏ ngay. Thêm nước sôi lần hai, chờ ngấm rồi để nguội uống."
9,arcee-ai/Arcee-VyLinh,Reasoner_EN,Làm thế nào để sử dụng Azibiotic?,"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.","Follow-up Question: How is Azithromycin administered?
Follow-up Answer: Azithromycin is administered with a single dose per day. For adults, the recommended dose is 1 gram for treating sexually transmitted infections. For other indications, the initial dose is 500 mg on the first day, followed by 250 mg daily for 4 days. The dosage is specific to the individual's condition and age, and should be prescribed by a doctor.

Follow-up Question: What is the dosage for different conditions?
Follow-up Answer: For different conditions, the dosage of Azithromycin is as follows:

1. **Bệnh lây qua đường tình dục**: 1 gam (1000 mg) một lần duy nhất.
2. **Viêm phế quản, viêm phổi, viêm họng**: 
   - Ngày đầu tiên: 500 mg.
   - 4 ngày tiếp theo: 250 mg/ngày.
3. **Nhiễm khuẩn da và mô mềm**: Liều dùng theo chỉ định của bác sĩ.
4. **Người cao tuổi**: Liều dùng bằng liều của người lớn.
5. **Liều dùng cụ thể**: Tùy thuộc vào tình trạng bệnh và

Follow-up Question: What is the dosing schedule for the first day?
Follow-up Answer: The dosing schedule for the first day is 500 mg of Azithromycin.",Azibiotic được dùng 1 lần/ngày.,Người lớn: 500 mg trong ngày đầu tiên.
