context,question,Chosen_Strategy,Model_Reason,Ground_Truth_Answer
"- Đái tháo nhạt trung ương. Tổn thương xuất hiện ở vùng hạ đồi hay tuyến yên. Các tác nhân gây thương tổn có thể là chấn thương đầu, phẫu thuật hay u. Khi đó, vùng hạ đồi và tuyến yên bị rối loạn chức năng, gây ảnh hưởng đến sự tiết hormone ADH. Một bệnh lý di truyền cũng có thể gây ra đái tháo nhạt trung ương thông qua cơ chế này.
- Đái tháo nhạt do thận. Nguyên nhân của đái tháo nhạt do thận là các rối loạn tại ống thận. Thông thường, ống thận sẽ tham gia tái hấp thu và đào thải dưới sự điều hòa của ADH. Các rối loạn tại ống thận làm mất sự điều hòa nội tiết này, gây ra bệnh. Nguyên nhân có thể do bệnh lý di truyền hay bệnh thận mạn tính. Một số thuốc như foscarnet, lithium hay thuốc kháng virus có thể gây ra tình trạng tương tự.
- Đái tháo nhạt thai kỳ. Đây là một tình trạng hiếm gặp. Bệnh lý xảy ra khi mang thai, nhau thai gây phá hủy ADH trong máu của người mẹ.
- Chứng uống nhiều tiên phát (cuồng uống nguyên phát). Nguyên nhân là do bệnh nhân uống quá nhiều nước, gây tiểu nhiều và làm loãng nước tiểu. Tình trạng này có liên quan đến bệnh lý tâm thần, như tâm thần phân liệt. Đôi khi bệnh không tìm được nguyên nhân. Một số trường hợp hiếm gặp có ghi nhận bệnh tự miễn gây tổn thương tế bào sản xuất ADH, dẫn đến bệnh đái tháo nhạt.",Những yếu tố gây ra hội chứng đái tháo nhạt trung ương là gì?,COMPLEX,,"Hội chứng đái tháo nhạt trung ương có thể xuất hiện do chấn thương đầu, phẫu thuật hay u làm tổn thương vùng hạ đồi hay tuyến yên, gây rối loạn chức năng sản sinh hormone ADH, ảnh hưởng đến khả năng tái hấp thu nước ở thận."
"- Azithromycin được dùng 1 lần/ngày.
- Người lớn: Điều trị bệnh lây qua đường tình dục với một liều duy nhất là 1 gam.
- Các chỉ định khác: điều trị viêm phế quản, viêm phổi, viêm họng, nhiễm khuẩn da và mô mềm. Liều ngày đầu tiên: Azithromycin 500 mg; 4 ngày tiếp theo: liều đơn 250 mg/ngày.
- Người cao tuổi: bằng liều của người lớn. Liều dùng trên đây chỉ mang tính chất tham khảo. Liều dùng cụ thể tùy thuộc vào tình trạng bệnh và cơ địa của từng người. Vì vậy, bạn nên đến gặp bác sĩ để được kê đơn thuốc với liều dùng phù hợp với bạn.",Làm thế nào để sử dụng Azibiotic?,COMPLEX,,Azibiotic được dùng 1 lần/ngày.
Thuốc cisaprid bài tiết qua sữa mẹ. Nên thận trọng khi dùng thuốc cho phụ nữ trong thời kỳ cho con bú. Tác dụng trên trẻ em chưa được rõ.,Tác dụng của thuốc cisapride trên trẻ em như thế nào?,COMPLEX,,Tác dụng trên trẻ em chưa được rõ.
"Bệnh có thể lây lan sang các bộ phận khác của cơ thể, bao gồm: - Tay: Những người cào gãi hoặc chọc ngoáy vào các vị trí bị nhiễm nấm của bàn chân có thể bị nhiễm trùng tương tự ở một trong hai bàn tay của họ.
- Móng: Các loại nấm liên quan đến bệnh nấm da chân cũng có thể lây nhiễm sang móng chân của bạn. Đây là một vị trí có xu hướng khó điều trị hơn.
- Vùng bẹn: Nấm bẹn thường do cùng một loại nấm gây ra bệnh nấm da chân. Tình trạng nhiễm trùng thường lây lan từ chân đến bẹn vì nấm có thể di chuyển từ tay hoặc trên khăn của bạn.",Bệnh nấm da chân có thể lây lan sang những bộ phận nào của cơ thể?,COMPLEX,"The answer requires synthesizing information from multiple, non-consecutive parts of the text to form a comprehensive list of affected body parts.","Bệnh nấm da chân có thể lây lan sang tay, móng và vùng bẹn."
"Phần trên mặt đất của Mào gà trắng chứa 21,51% protein, nhiều K, isoflavone. Trong hạt Mào gà trắng có chứa chất béo, các chất khác và hoạt chất như Polysaccharid acid là celosian với tác dụng bảo vệ gan. Cây Mào gà đỏ chứa kaempfertrin, amaranthin, purit.",Cây hoa mào gà thành phần có chất gì để có tác dụng chữa bệnh?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to identify the specific components that have a therapeutic effect. The text mentions that the Mào gà đỏ (red mung bean) contains","Cây hoa mào gà có các thành phần như Polysaccharid acid celosian, kaempfertrin, amaranthin, purit. Những thành phần này có tác dụng bảo vệ gan."
"Khởi phát triệu chứng mất ngủ có thể gặp ở bất kì giai đoạn nào trong cuộc đời, nhưng giai đoạn đầu tiên thường phổ biến ở những người trẻ. Ít khi, mất ngủ ngủ xảy ra ở trẻ em và trẻ vị thành niên. Ở phụ nữ, một khởi phát mất ngủ mới có thể xảy ra thời kì mãn kinh và có thể kéo dài dù những triệu chứng mãn kinh khác không còn nữa như cảm giác bốc hỏa. Mất ngủ có thể khởi phát ở giai đoạn trễ của cuộc đời liên quan đến khởi phát những tình trạng y khoa liên quan. Mất ngủ có thể là một trạng thái cấp, dai dẳng hay tái phát. Một mất ngủ cấp thường kéo dài vài ngày hay vài tuần thường liên quan đến những sự kiện trong đời sống hoặc thay đổi đồng hồ sinh học hoặc môi trường sống. Đối với một vài cá nhân, mất ngủ có thể được giải quyết khi những sự kiện đó mất đi. Đối với một vài trường hợp khác, mất ngủ có thể kéo dài dai dẳng dù sự kiện khởi phát đã không còn. Những yếu tố làm mất ngủ có thể khác với những yếu tố gây mất ngủ kéo dài. Ví dụ một người nằm liệt giường kèm đau do chấn thương và khó ngủ có thể phát triển những yếu tố bất lợi đối với giấc ngủ. Tình trạng thức tỉnh có thể dai dẳng và dẫn đến mất ngủ dai dẳng. Một diễn tiến tương tự có thể tiến triển trong bối cảnh của một stress tâm lý hoặc rối loạn tâm thần. Ví dụ, mất ngủ có thể xảy ra trong một giai đoạn đầu tiên của rối loạn trầm cảm chủ yếu có thể trở thành tâm điểm của tập trung với những tình trạng kết quả âm tính, và dai dẳng sau khi giai đoạn trầm cảm được giải quyết. Trong một trường hợp cũng có thể khởi phát âm thầm mà không có yếu tố thúc đẩy. Diễn tiến của mất ngủ có thể là những giai đoạn với những đợt tái phát liên quan đến những sự kiện stress. Tỉ lệ mãn tính từ 45 – 75% cho những case theo dõi từ 1 – 7 năm. Đặc điểm của mất ngủ có thể thay đổi theo thời gian. Nhiều cá nhân rối loạn giấc ngủ nhẹ trước khi có những vấn đề dai dẳng về giấc ngủ. Những than phiền về giấc ngủ thường gặp ở trung niên và người già. Những dạng của triệu chứng mất ngủ thay đổi theo tuổi, khó vào giấc ngủ thường gặp ở người trẻ trưởng thành, khó duy trì giấc ngủ thường gặp ở người trung niên và người già. Khó đi vào giấc ngủ hoặc duy trì giấc ngủ có thể xảy ra ở trẻ em và trẻ vị thành niên nhưng hạn chế các số liệu về tỉ lệ hiện mắc, yếu tố nguy cơ và bệnh đi kèm trong những pha phát triển của cuộc đời. Khó ngủ ở trẻ em có thể là kết quả từ những yếu tố (trẻ không được học cách đi vào giấc ngủ và duy trì giấc ngủ nếu không có sự hiện diện của bố mẹ) hoặc không có thời gian biểu ngủ cố định và thói quen đi ngủ. Mất ngủ ở trẻ vị thành niên có thể là do thời gian biểu ngủ không đều đặn. Cả trẻ em lẫn trẻ vị thành niên, những yếu tố tâm lý và khoa có thể dẫn đến mất ngủ. Tỉ lệ mắc của mất ngủ ở những người già gia tăng được giải thích một phần là do tăng những tỉ lệ mắc những vấn đề sức khoẻ sinh lý liên quan đến tuổi. Sự thay đổi trong mô hình ngủ liên quan đến tiến trình phát triển bình thường phân biệt với những thay đổi quá mức liên quan đến tuổi. Mặc dù đa giấc ngủ kí có những hạn chế trong đánh giá mất ngủ thường quy,nhưng có có thể hữu ích trong chẩn đoán phân biệt ở người lớn bởi nguyên nhân mất ngủ (ví dụ ngưng thở khi ngủ) thường được thấy ở người già. Có phải bạn đang tìm cách để có một giấc ngủ ngon? Xem ngay bài viết: Bác sĩ mách bạn 9 cách dễ ngủ cực hiệu quả nhé!",Những đối tượng thường gặp chứng mất ngủ?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to identify the broad categories of people who are most likely to experience insomnia.",Chứng mất ngủ thường gặp ở những người trẻ và phụ nữ thời kỳ mãn kinh.
"Chọc hút tế bào bằng kim nhỏ được xem là thủ thuật chấn đoán hàng đầu một nhân giáp. Đây là phương tiện khá an toàn và xâm lấn tối thiểu. Chỉ định thực hiện sinh thiết bằng kim nhỏ (FNAB) tuỳ thuộc vào kích thước và những đặc điểm ghi nhận trên siêu âm của nhân giáp: Theo NCCN, FNAB khi nhân >1 cm rất nghi ngờ trên siêu âm, ≥ 1,5 cm nhân nghi ngờ trung bình trên siêu âm và ≥2,5 cm nghi ngờ ít trên siêu âm. Theo ATA, FNAB cho những nhân >0,5 cm đường kính. Còn theo ESMO, FNAB cho những nhân >1 cm.2",Khi nào thì cần thực hiện thủ thuật chọc hút tế bào bằng kim nhỏ để chẩn đoán bệnh ung thư biểu mô tuyến giáp thể nang?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to form a new conclusion about the indications for FNAB in thyroid nodule cancer.","Cần thực hiện thủ thuật chọc hút tế bào bằng kim nhỏ (FNAB) khi nhân giáp có kích thước >1 cm rất nghi ngờ trên siêu âm, hoặc ≥ 1,5 cm nghi ngờ trung bình trên siêu âm, hoặc ≥2,5 cm nghi ngờ ít trên siêu âm theo NCCN; hoặc khi nhân giáp có đường kính >0,5 cm theo ATA; hoặc khi nhân giáp có kích thước >1 cm theo ESMO."
"Thân rễ ngắn, cứng chắc, đôi khi còn sót lại gốc của thân ờ đình. Rễ hình trụ dài, hơi cong, có khi phân nhánh và có rễ con dài 10 cm đến 20 cm, đường kính 0,3 cm đến 1 cm. Mặt ngoài màu đỏ nâu hoặc đỏ nâu tối, thô ráp, có vân nhãn dọc. Vỏ rễ già có màu nâu tía, thường bong ra. Chất cứng và giòn, mặt bẻ gãy không chắc có vết nứt, hoặc hơi phẳng và đặc, phần vỏ màu đỏ nâu và phần gỗ màu vàng xám hoặc màu nâu tía với bó mạch màu trắng vàng, xếp theo hướng xuyên tâm. Mùi nhẹ, vị hơi đắng và se. Dược liệu từ cây trồng tương đối mập chắc, đường kính 0 5 cm đến 1,5 cm. Mặt ngoài màu nâu đỏ, có nếp nhăn dọc, phần vỏ bám chặt vào gỗ không dễ bóc ra. Chất chắc, mật bẻ gãy tương đối phẳng, hơi có dạng chất sừng.",Mô tả cụ thể hình dáng của thân rễ Đan sâm?,COMPLEX,"The question requires synthesizing information from multiple, non-consecutive parts of the text to describe the specific shape of the rind and texture of the root of Dang Shen.","Thân rễ ngắn, cứng chắc, đôi khi còn sót lại gốc của thân ờ đình."
"Có thể bao gồm các liệu pháp cải thiện cho bệnh nhân gặp khó khăn về thể chất, cảm xúc và nhận thức:5 - Vật lý trị liệu, để xây dựng sức mạnh thể chất, khả năng phối hợp và sự linh hoạt trong vận động.
- Liệu pháp nghề nghiệp, để giúp bệnh nhân học hoặc học lại cách thực hiện các công việc hàng ngày. Chẳng hạn như: mặc quần áo, nấu ăn và vệ sinh cá nhân.
- Liệu pháp ngôn ngữ, để giúp bệnh nhân có khả năng nói và các kỹ năng giao tiếp khác và điều trị chứng rối loạn nuốt – một di chứng có thể xảy ra sau CTSN.
- Tư vấn tâm lý, để giúp bệnh nhân học các kỹ năng đối phó, xây dựng các mối quan hệ và cải thiện tình cảm của bệnh nhân.
- Tư vấn nghề nghiệp, tập trung vào khả năng trở lại làm việc của bệnh nhân và đối phó với những thách thức tại nơi làm việc.
- Liệu pháp nhận thức, để cải thiện trí nhớ, sự chú ý, nhận thức, học tập, lập kế hoạch và phán đoán của bệnh nhân. Một số bệnh nhân CTSN có thể bị tàn tật vĩnh viễn. CTSN cũng có thể khiến bệnh nhân có nguy cơ mắc các vấn đề sức khỏe khác như lo lắng, trầm cảm và rối loạn căng thẳng sau chấn thương. Điều trị những vấn đề này có thể cải thiện chất lượng cuộc sống của họ. Qua bài viết trên, Bác sĩ Lê Anh Thư hy vọng bạn đọc đã có thêm thông tin về chấn thương sọ não. Đây là một tổn thương thường gặp trong đời sống và có tỷ lệ tử vong, thương tật cao. Việc có cái nhìn tổng quan về chấn thương này sẽ giúp chúng ta phần nào phòng tránh và có những bước xử lý kịp thời, giúp nâng cao khả năng phục hồi của bệnh nhân.",Hậu quả lâu dài của chấn thương sọ não có thể là gì?,COMPLEX,"The answer requires synthesizing information from multiple, non-consecutive parts of the text to form a new conclusion about the long-term effects of a concussion.","Hậu quả lâu dài của chấn thương sọ não có thể là tàn tật vĩnh viễn, nguy cơ mắc các vấn đề sức khỏe khác như lo lắng, trầm cảm và rối loạn căng thẳng sau chấn thương."
"Người ta đã chứng minh rằng cây Mật gấu có tác dụng ức chế sinh tổng hợp các prostaglandin E2 (PGE2) và prostaglandin D2 (PGD2). Ngoài ra, cây chứa tannin, là chất ức chế mạnh mẽ cyclooxygenase-1. Điều này có thể gợi ý rằng tác dụng chống viêm của Mật gấu do ức chế giải phóng prostaglandin và các chất trung gian khác. Ngoài ra, vì cây rất giàu flavonoid, steroid, tinh dầu và tanin, nên điều này cũng có thể là nguyên nhân một phần gây ra tác dụng giảm đau ở các mô hình động vật gây ung thư.",Tại sao cây mật gấu có tác dụng chống viêm?,COMPLEX,"The answer requires synthesizing information from multiple, non-consecutive parts of the text to form a new conclusion about the anti-inflammatory effects of the ginseng plant.",Cây mật gấu có tác dụng chống viêm do chất tannin có trong cây có thể ức chế cyclooxygenase-1 (một loại enzym quan trọng trong quá trình sản xuất chất prostaglandin) và các chất trung gian khác.
